profile,method,seed,level,delay,execute_horizon,d_p50,d_p95,d_p99,max_ddelta_action,max_delta_action,p_violate,returned_episode_lengths,returned_episode_returns,returned_episode_solved
long_tail,naive,0,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,4.475882530212402,2.534867763519287,0.0234375,242.67578125,-0.015625,0.0
long_tail,naive,1,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,4.465843200683594,2.539557456970215,0.046875,252.42578125,-0.015625,0.0
long_tail,naive,2,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,4.493326187133789,2.5375900268554688,0.03515625,241.58203125,-0.0390625,0.0
long_tail,naive,3,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,4.506455421447754,2.558791399002075,0.046875,246.265625,-0.02734375,0.0
long_tail,naive,4,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,4.52001428604126,2.5661072731018066,0.046875,243.55078125,-0.0234375,0.0
long_tail,realtime,0,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,3.7434241771698,2.1250176429748535,0.0234375,253.8046875,-0.00390625,0.0
long_tail,realtime,1,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,3.7895212173461914,2.151664972305298,0.046875,253.2109375,-0.01171875,0.0
long_tail,realtime,2,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,3.717851161956787,2.1271450519561768,0.03515625,254.375,0.0,0.0
long_tail,realtime,3,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,3.764462471008301,2.150970458984375,0.046875,251.51171875,-0.01171875,0.0
long_tail,realtime,4,worlds/l/grasp_easy.json,profile,1,0.0,1.0,4.0,3.734647035598755,2.15565824508667,0.046875,253.0546875,-0.00390625,0.0
tail_controlled,naive,0,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,4.478849411010742,2.5375595092773438,0.0,242.7578125,-0.015625,0.0
tail_controlled,naive,1,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,4.469063758850098,2.539120674133301,0.0,252.078125,-0.015625,0.0
tail_controlled,naive,2,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,4.490354537963867,2.5381829738616943,0.0,241.6875,-0.04296875,0.0
tail_controlled,naive,3,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,4.5094075202941895,2.558497905731201,0.0,246.640625,-0.0234375,0.0
tail_controlled,naive,4,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,4.523395538330078,2.567584991455078,0.0,243.65234375,-0.02734375,0.0
tail_controlled,realtime,0,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,3.750047206878662,2.125354290008545,0.0,254.7734375,-0.00390625,0.0
tail_controlled,realtime,1,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,3.762277126312256,2.1401615142822266,0.0,253.6015625,-0.0078125,0.0
tail_controlled,realtime,2,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,3.7211365699768066,2.124251127243042,0.0,255.0546875,0.0,0.0
tail_controlled,realtime,3,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,3.758364677429199,2.14475679397583,0.0,252.703125,-0.01171875,0.0
tail_controlled,realtime,4,worlds/l/grasp_easy.json,profile,1,0.0,1.0,2.0,3.7234301567077637,2.1447157859802246,0.0,252.91796875,-0.00390625,0.0
